A340803000	安徽省安庆市大观区
A340822000	安徽省安庆市怀宁县
A340824000	安徽省安庆市潜山市
A340826000	安徽省安庆市宿松县
A340825000	安徽省安庆市太湖县
A340881000	安徽省安庆市桐城市
A340827000	安徽省安庆市望江县
A340811000	安徽省安庆市宜秀区
A340802000	安徽省安庆市迎江区
A340828000	安徽省安庆市岳西县
A340303000	安徽省蚌埠市蚌山区
A340323000	安徽省蚌埠市固镇县
A340321000	安徽省蚌埠市怀远县
A340311000	安徽省蚌埠市淮上区
A340302000	安徽省蚌埠市龙子湖区
A340322000	安徽省蚌埠市五河县
A340304000	安徽省蚌埠市禹会区
A341623000	安徽省亳州市利辛县
A341622000	安徽省亳州市蒙城县
A341602000	安徽省亳州市谯城区
A341621000	安徽省亳州市涡阳县
A341721000	安徽省池州市东至县
A341702000	安徽省池州市贵池区
A341723000	安徽省池州市青阳县
A341722000	安徽省池州市石台县
A341125000	安徽省滁州市定远县
A341126000	安徽省滁州市凤阳县
A341122000	安徽省滁州市来安县
A341102000	安徽省滁州市琅琊区
A341182000	安徽省滁州市明光市
A341103000	安徽省滁州市南谯区
A341124000	安徽省滁州市全椒县
A341181000	安徽省滁州市天长市
A341225000	安徽省阜阳市阜南县
A341282000	安徽省阜阳市界首市
A341221000	安徽省阜阳市临泉县
A341222000	安徽省阜阳市太和县
A341203000	安徽省阜阳市颍东区
A341204000	安徽省阜阳市颍泉区
A341226000	安徽省阜阳市颍上县
A341202000	安徽省阜阳市颍州区
A340111000	安徽省合肥市包河区
A340121000	安徽省合肥市长丰县
A340181000	安徽省合肥市巢湖市
A340122000	安徽省合肥市肥东县
A340123000	安徽省合肥市肥西县
A340124000	安徽省合肥市庐江县
A340103000	安徽省合肥市庐阳区
A340104000	安徽省合肥市蜀山区
A340102000	安徽省合肥市瑶海区
A340602000	安徽省淮北市杜集区
A340604000	安徽省淮北市烈山区
A340621000	安徽省淮北市濉溪县
A340603000	安徽省淮北市相山区
A340405000	安徽省淮南市八公山区
A340402000	安徽省淮南市大通区
A340421000	安徽省淮南市凤台县
B340400000	安徽省淮南市高新技术产业开发区
A340406000	安徽省淮南市潘集区
A340408000	安徽省淮南市寿县
A340403000	安徽省淮南市田家庵区
A340404000	安徽省淮南市谢家集区
A341003000	安徽省黄山市黄山区
A341004000	安徽省黄山市徽州区
A341024000	安徽省黄山市祁门县
A341002000	安徽省黄山市屯溪区
A341021000	安徽省黄山市歙县
A341022000	安徽省黄山市休宁县
A341023000	安徽省黄山市黟县
A341522000	安徽省六安市霍邱县
A341525000	安徽省六安市霍山县
A341502000	安徽省六安市金安区
A341524000	安徽省六安市金寨县
A341523000	安徽省六安市舒城县
A341509000	安徽省六安市叶集区
A341503000	安徽省六安市裕安区
A340507000	安徽省马鞍山市博望区
A340521000	安徽省马鞍山市当涂县
A340522000	安徽省马鞍山市含山县
A340523000	安徽省马鞍山市和县
A340503000	安徽省马鞍山市花山区
A340504000	安徽省马鞍山市雨山区
A341321000	安徽省宿州市砀山县
A341323000	安徽省宿州市灵璧县
A341324000	安徽省宿州市泗县
A341322000	安徽省宿州市萧县
A341302000	安徽省宿州市埇桥区
A340700008	安徽省铜陵市枞阳县
A340711000	安徽省铜陵市郊区
A340721000	安徽省铜陵市义安区
A340222000	安徽省芜湖市繁昌县
A340202000	安徽省芜湖市镜湖区
A340207000	安徽省芜湖市鸠江区
A340223000	安徽省芜湖市南陵县
A340208000	安徽省芜湖市三山区
A340225000	安徽省芜湖市无为县
A340221000	安徽省芜湖市芜湖县
A340203000	安徽省芜湖市弋江区
A341822000	安徽省宣城市广德县
A341824000	安徽省宣城市绩溪县
A341823000	安徽省宣城市泾县
A341825000	安徽省宣城市旌德县
A341821000	安徽省宣城市郎溪县
A341881000	安徽省宣城市宁国市
A341802000	安徽省宣城市宣州区
A110114000	北京昌平区
A110105000	北京朝阳区
A110115000	北京大兴区
A110101000	北京东城区
A110111000	北京房山区
A110106000	北京丰台区
A110108000	北京海淀区
A110116000	北京怀柔区
A110109000	北京门头沟区
A110228000	北京密云区
A110117000	北京平谷区
A110107000	北京石景山区
A110113000	北京顺义区
A110112000	北京通州区
A110102000	北京西城区
A110229000	北京延庆区
A500113000	重庆巴南区
A500109000	重庆北碚区
A500227000	重庆璧山区
A500115000	重庆长寿区
A500229000	重庆城口县
A500104000	重庆大渡口区
A500111000	重庆大足区
A500231000	重庆垫江县
A500230000	重庆丰都县
A500236000	重庆奉节县
A500102000	重庆涪陵区
A500117000	重庆合川区
A500105000	重庆江北区
A500116000	重庆江津区
A500107000	重庆九龙坡区
A500234000	重庆开州区
A500228000	重庆梁平区
A500108000	重庆南岸区
A500119000	重庆南川区
A500243000	重庆彭水苗族土家族自治县
A500110000	重庆綦江区
A500114000	重庆黔江区
A500226000	重庆荣昌区
A500106000	重庆沙坪坝区
A500240000	重庆石柱土家族自治县
A500224000	重庆铜梁区
A500223000	重庆潼南区
A500101000	重庆万州区
A500237000	重庆巫山县
A500238000	重庆巫溪县
A500232000	重庆武隆区
A500241000	重庆秀山土家族苗族自治县
A500118000	重庆永川区
A500242000	重庆酉阳土家族苗族自治县
A500112000	重庆渝北区
A500103000	重庆渝中区
A500235000	重庆云阳县
A500233000	重庆忠县
A350104000	福建省福州市仓山区
A350182000	福建省福州市长乐区
A350181000	福建省福州市福清市
A350102000	福建省福州市鼓楼区
A350111000	福建省福州市晋安区
A350122000	福建省福州市连江县
A350123000	福建省福州市罗源县
A350105000	福建省福州市马尾区
A350121000	福建省福州市闽侯县
A350124000	福建省福州市闽清县
A350128000	福建省福州市平潭县
A350103000	福建省福州市台江区
A350125000	福建省福州市永泰县
A350821000	福建省龙岩市长汀县
A350825000	福建省龙岩市连城县
A350823000	福建省龙岩市上杭县
A350824000	福建省龙岩市武平县
A350802000	福建省龙岩市新罗区
A350822000	福建省龙岩市永定区
A350881000	福建省龙岩市漳平市
A350723000	福建省南平市光泽县
A350783000	福建省南平市建瓯市
A350784000	福建省南平市建阳区
A350722000	福建省南平市浦城县
A350781000	福建省南平市邵武市
A350721000	福建省南平市顺昌县
A350724000	福建省南平市松溪县
A350782000	福建省南平市武夷山市
A350702000	福建省南平市延平区
A350725000	福建省南平市政和县
A350981000	福建省宁德市福安市
A350982000	福建省宁德市福鼎市
A350922000	福建省宁德市古田县
A350902000	福建省宁德市蕉城区
A350923000	福建省宁德市屏南县
A350924000	福建省宁德市寿宁县
A350921000	福建省宁德市霞浦县
A350926000	福建省宁德市柘荣县
A350925000	福建省宁德市周宁县
A350302000	福建省莆田市城厢区
A350303000	福建省莆田市涵江区
A350304000	福建省莆田市荔城区
A350322000	福建省莆田市仙游县
A350305000	福建省莆田市秀屿区
A350524000	福建省泉州市安溪县
A350526000	福建省泉州市德化县
A350503000	福建省泉州市丰泽区
A350521000	福建省泉州市惠安县
A350582000	福建省泉州市晋江市
A350502000	福建省泉州市鲤城区
A350504000	福建省泉州市洛江区
A350583000	福建省泉州市南安市
A350505000	福建省泉州市泉港区
A350581000	福建省泉州市石狮市
A350525000	福建省泉州市永春县
A350425000	福建省三明市大田县
A350430000	福建省三明市建宁县
A350428000	福建省三明市将乐县
A350402000	福建省三明市梅列区
A350421000	福建省三明市明溪县
A350424000	福建省三明市宁化县
A350423000	福建省三明市清流县
A350403000	福建省三明市三元区
A350427000	福建省三明市沙县
A350429000	福建省三明市泰宁县
A350481000	福建省三明市永安市
A350426000	福建省三明市尤溪县
A350205000	福建省厦门市海沧区
A350206000	福建省厦门市湖里区
A350211000	福建省厦门市集美区
A350203000	福建省厦门市思明区
A350212000	福建省厦门市同安区
A350213000	福建省厦门市翔安区
A350625000	福建省漳州市长泰县
A350626000	福建省漳州市东山县
A350629000	福建省漳州市华安县
A350681000	福建省漳州市龙海市
A350603000	福建省漳州市龙文区
A350627000	福建省漳州市南靖县
A350628000	福建省漳州市平和县
A350602000	福建省漳州市芗城区
A350622000	福建省漳州市云霄县
A350623000	福建省漳州市漳浦县
A350624000	福建省漳州市诏安县
A620402000	甘肃省白银市白银区
A620422000	甘肃省白银市会宁县
A620423000	甘肃省白银市景泰县
A620421000	甘肃省白银市靖远县
A620403000	甘肃省白银市平川区
A621102000	甘肃省定西市安定区
A621124000	甘肃省定西市临洮县
A621122000	甘肃省定西市陇西县
A621126000	甘肃省定西市岷县
A621121000	甘肃省定西市通渭县
A621123000	甘肃省定西市渭源县
A621125000	甘肃省定西市漳县
A623024000	甘肃省甘南藏族自治州迭部县
A623001000	甘肃省甘南藏族自治州合作市
A623021000	甘肃省甘南藏族自治州临潭县
A623026000	甘肃省甘南藏族自治州碌曲县
A623025000	甘肃省甘南藏族自治州玛曲县
A623027000	甘肃省甘南藏族自治州夏河县
A623023000	甘肃省甘南藏族自治州舟曲县
A623022000	甘肃省甘南藏族自治州卓尼县
A620200066	甘肃省嘉峪关市长城区
A620200033	甘肃省嘉峪关市镜铁区
A6202001994	甘肃省嘉峪关市雄关区
A620302000	甘肃省金昌市金川区
A620321000	甘肃省金昌市永昌县
A620924000	甘肃省酒泉市阿克塞哈萨克族自治县
A620982000	甘肃省酒泉市敦煌市
A620922000	甘肃省酒泉市瓜州县
A620921000	甘肃省酒泉市金塔县
A620923000	甘肃省酒泉市肃北蒙古族自治县
A620902000	甘肃省酒泉市肃州区
A620981000	甘肃省酒泉市玉门市
A620105000	甘肃省兰州市安宁区
A620102000	甘肃省兰州市城关区
A620122000	甘肃省兰州市皋兰县
A620111000	甘肃省兰州市红古区
A620103000	甘肃省兰州市七里河区
A620104000	甘肃省兰州市西固区
A620121000	甘肃省兰州市永登县
A620123000	甘肃省兰州市榆中县
A622926000	甘肃省临夏回族自治州东乡族自治县
A622924000	甘肃省临夏回族自治州广河县
A622925000	甘肃省临夏回族自治州和政县
A622927000	甘肃省临夏回族自治州积石山保安族东乡族撒拉族自治县
A622922000	甘肃省临夏回族自治州康乐县
A622901000	甘肃省临夏回族自治州临夏市
A622921000	甘肃省临夏回族自治州临夏县
A622923000	甘肃省临夏回族自治州永靖县
A621221000	甘肃省陇南市成县
A621223000	甘肃省陇南市宕昌县
A621227000	甘肃省陇南市徽县
A621224000	甘肃省陇南市康县
A621226000	甘肃省陇南市礼县
A621228000	甘肃省陇南市两当县
A621222000	甘肃省陇南市文县
A621202000	甘肃省陇南市武都区
A621225000	甘肃省陇南市西和县
A620823000	甘肃省平凉市崇信县
A620824000	甘肃省平凉市华亭市
A620821000	甘肃省平凉市泾川县
A620826000	甘肃省平凉市静宁县
A620802000	甘肃省平凉市崆峒区
A620822000	甘肃省平凉市灵台县
A620825000	甘肃省平凉市庄浪县
A621024000	甘肃省庆阳市合水县
A621023000	甘肃省庆阳市华池县
A621022000	甘肃省庆阳市环县
A621026000	甘肃省庆阳市宁县
A621021000	甘肃省庆阳市庆城县
A621002000	甘肃省庆阳市西峰区
A621027000	甘肃省庆阳市镇原县
A621025000	甘肃省庆阳市正宁县
A620523000	甘肃省天水市甘谷县
A620503000	甘肃省天水市麦积区
A620522000	甘肃省天水市秦安县
A620502000	甘肃省天水市秦州区
A620521000	甘肃省天水市清水县
A620524000	甘肃省天水市武山县
A620525000	甘肃省天水市张家川回族自治县
A620622000	甘肃省武威市古浪县
A620602000	甘肃省武威市凉州区
A620621000	甘肃省武威市民勤县
A620623000	甘肃省武威市天祝藏族自治县
A620702000	甘肃省张掖市甘州区
A620724000	甘肃省张掖市高台县
A620723000	甘肃省张掖市临泽县
A620722000	甘肃省张掖市民乐县
A620725000	甘肃省张掖市山丹县
A620721000	甘肃省张掖市肃南裕固族自治县
A445121000	广东省潮州市潮安区
A445122000	广东省潮州市饶平县
A445102000	广东省潮州市湘桥区
A4419001039	广东省东莞市茶山镇
A4419001056	广东省东莞市长安镇
A4419001046	广东省东莞市常平镇
A4419001050	广东省东莞市大朗镇
A4419001055	广东省东莞市大岭山镇
A4419001060	广东省东莞市道滘镇
A4419001033	广东省东莞市东城街道
A4419001045	广东省东莞市东坑镇
A4419001054	广东省东莞市凤岗镇
A4419001065	广东省东莞市高埗镇
A4419001042	广东省东莞市横沥镇
A4419001061	广东省东莞市洪梅镇
A4419001058	广东省东莞市厚街镇
A4419001057	广东省东莞市虎门镇
A4419001051	广东省东莞市黄江镇
A4419001048	广东省东莞市寮步镇
A4419001062	广东省东莞市麻涌镇
A4419001034	广东省东莞市南城街道
A4419001041	广东省东莞市企石镇
A4419001043	广东省东莞市桥头镇
A4419001052	广东省东莞市清溪镇
A4419001059	广东省东莞市沙田镇
A4419001037	广东省东莞市石碣镇
A4419001038	广东省东莞市石龙镇
A4419001040	广东省东莞市石排镇
A4419001053	广东省东莞市塘厦镇
A4419001036	广东省东莞市莞城街道
A4419001035	广东省东莞市万江街道
A4419001063	广东省东莞市望牛墩镇
A4419001044	广东省东莞市谢岗镇
A4419001049	广东省东莞市樟木头镇
A4419001064	广东省东莞市中堂镇
A440604000	广东省佛山市禅城区
A440608000	广东省佛山市高明区
A440605000	广东省佛山市南海区
A440607000	广东省佛山市三水区
A440606000	广东省佛山市顺德区
A440111000	广东省广州市白云区
A440184000	广东省广州市从化区
A440113000	广东省广州市番禺区
A440105000	广东省广州市海珠区
A440114000	广东省广州市花都区
A440112000	广东省广州市黄埔区
A440103000	广东省广州市荔湾区
A440115000	广东省广州市南沙区
A440106000	广东省广州市天河区
A440104000	广东省广州市越秀区
A440183000	广东省广州市增城区
A441625000	广东省河源市东源县
A441624000	广东省河源市和平县
A441623000	广东省河源市连平县
A441622000	广东省河源市龙川县
A441602000	广东省河源市源城区
A441621000	广东省河源市紫金县
A441322000	广东省惠州市博罗县
A441302000	广东省惠州市惠城区
A441323000	广东省惠州市惠东县
A441303000	广东省惠州市惠阳区
A441324000	广东省惠州市龙门县
A440785000	广东省江门市恩平市
A440784000	广东省江门市鹤山市
A440704000	广东省江门市江海区
A440783000	广东省江门市开平市
A440703000	广东省江门市蓬江区
A440781000	广东省江门市台山市
A440705000	广东省江门市新会区
A445224000	广东省揭阳市惠来县
A445221000	广东省揭阳市揭东区
A445222000	广东省揭阳市揭西县
A445281000	广东省揭阳市普宁市
A445202000	广东省揭阳市榕城区
A440923000	广东省茂名市电白区
A440981000	广东省茂名市高州市
A440982000	广东省茂名市化州市
A440902000	广东省茂名市茂南区
A440983000	广东省茂名市信宜市
A441422000	广东省梅州市大埔县
A441423000	广东省梅州市丰顺县
A441427000	广东省梅州市蕉岭县
A441402000	广东省梅州市梅江区
A441421000	广东省梅州市梅县区
A441426000	广东省梅州市平远县
A441424000	广东省梅州市五华县
A441481000	广东省梅州市兴宁市
A441821000	广东省清远市佛冈县
A441826000	广东省清远市连南瑶族自治县
A441825000	广东省清远市连山壮族瑶族自治县
A441882000	广东省清远市连州市
A441802000	广东省清远市清城区
A441827000	广东省清远市清新区
A441823000	广东省清远市阳山县
A441881000	广东省清远市英德市
A440514000	广东省汕头市潮南区
A440513000	广东省汕头市潮阳区
A440515000	广东省汕头市澄海区
A440512000	广东省汕头市濠江区
A440511000	广东省汕头市金平区
A440507000	广东省汕头市龙湖区
A440523000	广东省汕头市南澳县
